Event,Event_Group,Event_Type,Proposition,Main_Category,Simplified_Page_URL,Count,Event_Type_Count
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=eaiaiqobchmi96ecv5ou5givvedtch0ttqwzeaayasaaegiaq_d_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=eaiaiqobchmih-ksraos5giv06sach27aq5aeaayasaaeglqvfd_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=eaiaiqobchmij7ffu8ut5givd-wach1uqw_ieaayasaaegltefd_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=eaiaiqobchmilunqoqcu5giv2qsach3s7q7ieaayasaaeginhfd_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=eaiaiqobchmiqsbexzet5givguaach3_uaj0eaayasaaegjpzfd_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-272_312.html?fbclid=iwar3yshqfcj_akqusfferw7mjrqioif3_o2ybad3mz0ocyu1b5ys3b4fnmbw,c-272_312,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-272_312.html?fbclid=iwar3zj4wiudi9rvajk8h7nwscqifsgvrxkbga0vt1vyc_t7vkvm1xk1sgqqw,c-272_312,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_322_326.html,c-317_322_326,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_322_328.html,c-317_322_328,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_334.html,c-317_334,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-35.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nb5yhee2m_6rnfoisujpycfgnb5plubyikhzgv6xytt-iy1ikzyh1rocxvgqavd_bwe,c-35,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-35.html?gclid=eaiaiqobchmi-y2nobot5givjemach1tqgfweaayasaaegict_d_bwe,c-35,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-39_40_227.html,c-39_40_227,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-39_40_294.html,c-39_40_294,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-39_44.html,c-39_44,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-39_54.html,c-39_54,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-39_54_238.html,c-39_54_238,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_89.html,c-66_89,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_99.html,c-66_99,2,35061
Other_Action,Refined,Other,other_action (Other Action),Formularz-sukces-fs-1.html,formularz-sukces-fs-1,2,35061
Other_Action,Refined,Other,other_action (Other Action),M-47.html,m-47,2,35061
Other_Action,Refined,Other,other_action (Other Action),M-76.html,m-76,2,35061
Other_Action,Refined,Other,other_action (Other Action),Panel-klienta.html,panel-klienta,2,35061
